Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Scottie Barnes,38:04,13,19,.684,1,4,.250,5,6,.833,3,6,9,7,1,0,1,3,32,+5,Toronto
OG Anunoby,37:39,12,14,.857,4,6,.667,3,3,1.000,0,2,2,1,5,0,5,1,31,+7,Toronto
Pascal Siakam,37:05,5,13,.385,2,5,.400,0,0,,0,4,4,2,0,1,1,3,12,+9,Toronto
Fred VanVleet,36:29,3,9,.333,2,6,.333,0,0,,0,4,4,10,3,0,4,3,8,+5,Toronto
Jakob Poeltl,33:03,8,17,.471,0,0,,1,2,.500,4,6,10,4,3,1,0,2,17,+5,Toronto
Gary Trent Jr.,21:01,0,9,.000,0,3,.000,0,0,,1,1,2,2,1,0,0,0,0,-27,Toronto
Will Barton,13:45,2,3,.667,1,2,.500,0,0,,0,1,1,3,1,0,0,1,5,-18,Toronto
Chris Boucher,10:35,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,1,1,0,2,-17,Toronto
Precious Achiuwa,8:18,2,5,.400,0,1,.000,1,2,.500,1,1,2,0,0,0,1,2,5,-10,Toronto
Thaddeus Young,4:01,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-9,Toronto
Malachi Flynn,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Team Totals,240,46,92,.500,10,28,.357,10,13,.769,10,27,37,29,14,3,13,16,112,,Toronto
Scottie Barnes,38:04,13,19,.684,1,4,.250,5,6,.833,3,6,9,7,1,0,1,3,32,+5,LA Lakers
OG Anunoby,37:39,12,14,.857,4,6,.667,3,3,1.000,0,2,2,1,5,0,5,1,31,+7,LA Lakers
Pascal Siakam,37:05,5,13,.385,2,5,.400,0,0,,0,4,4,2,0,1,1,3,12,+9,LA Lakers
Fred VanVleet,36:29,3,9,.333,2,6,.333,0,0,,0,4,4,10,3,0,4,3,8,+5,LA Lakers
Jakob Poeltl,33:03,8,17,.471,0,0,,1,2,.500,4,6,10,4,3,1,0,2,17,+5,LA Lakers
Gary Trent Jr.,21:01,0,9,.000,0,3,.000,0,0,,1,1,2,2,1,0,0,0,0,-27,LA Lakers
Will Barton,13:45,2,3,.667,1,2,.500,0,0,,0,1,1,3,1,0,0,1,5,-18,LA Lakers
Chris Boucher,10:35,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,1,1,0,2,-17,LA Lakers
Precious Achiuwa,8:18,2,5,.400,0,1,.000,1,2,.500,1,1,2,0,0,0,1,2,5,-10,LA Lakers
Thaddeus Young,4:01,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-9,LA Lakers
Malachi Flynn,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Team Totals,240,46,92,.500,10,28,.357,10,13,.769,10,27,37,29,14,3,13,16,112,,LA Lakers
Donovan Mitchell,42:33,15,30,.500,8,15,.533,4,6,.667,0,3,3,4,1,0,4,4,42,+1,Toronto
Caris LeVert,38:41,6,13,.462,4,9,.444,0,0,,0,3,3,4,1,1,2,1,16,-5,Toronto
Jarrett Allen,34:11,2,5,.400,0,0,,2,2,1.000,4,9,13,4,1,4,1,1,6,+8,Toronto
Isaac Okoro,33:37,6,9,.667,1,2,.500,3,3,1.000,2,0,2,3,2,0,0,2,16,-2,Toronto
Evan Mobley,28:24,4,10,.400,1,3,.333,3,4,.750,0,4,4,2,0,1,0,4,12,-18,Toronto
Ricky Rubio,25:10,3,8,.375,2,7,.286,0,0,,0,3,3,8,0,0,3,3,8,-8,Toronto
Lamar Stevens,24:43,2,5,.400,1,3,.333,3,4,.750,2,3,5,0,0,0,0,3,8,+2,Toronto
Cedi Osman,12:40,2,6,.333,1,4,.250,2,2,1.000,0,1,1,0,0,0,1,2,7,+4,Toronto
Robin Lopez,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,Toronto
Danny Green,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Sam Merrill,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Raul Neto,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Dean Wade,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Team Totals,240,40,86,.465,18,43,.419,17,21,.810,8,26,34,25,5,6,11,20,115,,Toronto
Donovan Mitchell,42:33,15,30,.500,8,15,.533,4,6,.667,0,3,3,4,1,0,4,4,42,+1,LA Lakers
Caris LeVert,38:41,6,13,.462,4,9,.444,0,0,,0,3,3,4,1,1,2,1,16,-5,LA Lakers
Jarrett Allen,34:11,2,5,.400,0,0,,2,2,1.000,4,9,13,4,1,4,1,1,6,+8,LA Lakers
Isaac Okoro,33:37,6,9,.667,1,2,.500,3,3,1.000,2,0,2,3,2,0,0,2,16,-2,LA Lakers
Evan Mobley,28:24,4,10,.400,1,3,.333,3,4,.750,0,4,4,2,0,1,0,4,12,-18,LA Lakers
Ricky Rubio,25:10,3,8,.375,2,7,.286,0,0,,0,3,3,8,0,0,3,3,8,-8,LA Lakers
Lamar Stevens,24:43,2,5,.400,1,3,.333,3,4,.750,2,3,5,0,0,0,0,3,8,+2,LA Lakers
Cedi Osman,12:40,2,6,.333,1,4,.250,2,2,1.000,0,1,1,0,0,0,1,2,7,+4,LA Lakers
Robin Lopez,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,LA Lakers
Danny Green,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Sam Merrill,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Raul Neto,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Dean Wade,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Team Totals,240,40,86,.465,18,43,.419,17,21,.810,8,26,34,25,5,6,11,20,115,,LA Lakers
Mikal Bridges,46:30,13,24,.542,4,8,.500,4,6,.667,0,6,6,1,0,0,4,2,34,-6,Toronto
Spencer Dinwiddie,44:31,11,24,.458,3,7,.429,4,6,.667,1,2,3,11,1,0,1,3,29,+6,Toronto
Dorian Finney-Smith,37:25,3,9,.333,2,5,.400,3,4,.750,3,2,5,2,3,1,0,4,11,-3,Toronto
Nic Claxton,35:25,5,6,.833,0,0,,1,2,.500,4,5,9,3,0,4,3,6,11,+7,Toronto
Cameron Johnson,34:25,3,8,.375,2,4,.500,7,9,.778,1,7,8,0,0,0,3,3,15,-4,Toronto
Royce O'Neale,36:21,3,11,.273,3,5,.600,3,4,.750,3,12,15,2,3,0,2,5,12,-6,Toronto
Seth Curry,17:14,4,7,.571,2,4,.500,1,1,1.000,0,2,2,1,0,0,0,1,11,+7,Toronto
Joe Harris,7:51,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,+5,Toronto
Cam Thomas,5:18,0,1,.000,0,0,,1,1,1.000,0,0,0,0,0,0,1,0,1,-1,Toronto
David Duke Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Patty Mills,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Nerlens Noel,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Day'Ron Sharpe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Edmond Sumner,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
